base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Universitario Infanta Sofía,68.57416905930423,0,Hospital Virgen de la Torre,1,H017,estres_1_base,Base,1.0,1.0,17,20160,hospital,69,2,available,0.08432539682539683,0.08432539682539683
Hospital Universitario José Germain,91.65126544524207,0,Hospital Universitario Fundación Alcorcón,1,H018,estres_1_base,Base,1.0,1.0,8,20160,hospital,69,2,available,0.03968253968253968,0.03968253968253968
Hospital Universitario La Paz,40.07105432747502,0,Hospital El Escorial,2,H019,estres_1_base,Base,1.0,1.0,35,20160,hospital,69,2,available,0.1736111111111111,0.1736111111111111
Hospital Universitario Príncipe de Asturias,100.0,0,Hospital Universitario Príncipe de Asturias,0,H020,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H021,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H022,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H023,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Ramón y Cajal,32.84942831467925,0,Hospital General Universitario Gregorio Marañón,2,H024,estres_1_base,Base,1.0,1.0,39,20160,hospital,69,2,available,0.19345238095238096,0.19345238095238096
BASE NOROESTE,39.30008010719534,1118,BASE NOROESTE,157,B001,estres_1_base,Base,1.0,1.0,1426,20160,base,70,3,available,12.619047619047619,7.073412698412699
BASE NOROESTE,42.815543879918486,1140,BASE NOROESTE,157,B002,estres_1_base,Base,1.0,1.0,1440,20160,base,70,3,available,12.797619047619047,7.142857142857142
BASE NORTE CAPITAL,91.08770220133506,2008,BASE NORTE CAPITAL,268,B003,estres_1_base,Base,1.0,1.0,2564,20160,base,70,3,available,22.678571428571427,12.718253968253968
BASE NORTE CAPITAL,54.17161878225774,2090,BASE NORTE CAPITAL,293,B004,estres_1_base,Base,1.0,1.0,2716,20160,base,70,3,available,23.839285714285715,13.472222222222221
BASE NORTE CAPITAL,26.13419644510148,2048,BASE NORTE CAPITAL,283,B005,estres_1_base,Base,1.0,1.0,2660,20160,base,70,3,available,23.353174603174605,13.194444444444445
BASE NORTE CAPITAL,61.479470297563395,2140,BASE NORTE CAPITAL,287,B006,estres_1_base,Base,1.0,1.0,2724,20160,base,70,3,available,24.126984126984127,13.511904761904761
BASE NORTE CAPITAL,100.0,1969,BASE NORTE CAPITAL,276,B007,estres_1_base,Base,1.0,1.0,2518,20160,base,70,3,available,22.256944444444443,12.490079365079366
BASE ESTE CORREDOR,83.03074909568936,870,BASE ESTE CORREDOR,75,B008,estres_1_base,Base,1.0,1.0,1148,20160,base,70,3,available,10.009920634920636,5.694444444444445
BASE ESTE CORREDOR,20.610480977600684,1831,BASE ESTE CORREDOR,156,B009,estres_1_base,Base,1.0,1.0,2362,20160,base,70,3,available,20.79861111111111,11.716269841269842
BASE ESTE CORREDOR,82.54953250223893,589,BASE ESTE CORREDOR,48,B010,estres_1_base,Base,1.0,1.0,730,20160,base,70,3,available,6.54265873015873,3.6210317460317465
BASE ESTE CORREDOR,82.9385834910314,1600,BASE ESTE CORREDOR,123,B011,estres_1_base,Base,1.0,1.0,2060,20160,base,70,3,available,18.154761904761905,10.218253968253968
BASE SUR FUENLABRADA,47.22493558524564,1849,BASE SUR FUENLABRADA,246,B012,estres_1_base,Base,1.0,1.0,2378,20160,base,70,3,available,20.967261904761905,11.795634920634921
BASE SUR FUENLABRADA,35.86298680099057,1431,BASE SUR FUENLABRADA,192,B013,estres_1_base,Base,1.0,1.0,1840,20160,base,70,3,available,16.225198412698415,9.126984126984127
BASE SUR FUENLABRADA,38.16344455444016,1871,BASE SUR FUENLABRADA,242,B014,estres_1_base,Base,1.0,1.0,2422,20160,base,70,3,available,21.294642857142858,12.01388888888889
Hospital Asociado Universitario Guadarrama,40.01240645295681,0,Hospital Virgen de la Torre,1,H001,estres_1_base,Base,1.0,1.0,38,20160,hospital,70,3,available,0.1884920634920635,0.1884920634920635
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital El Escorial,40.58593667923807,0,Hospital Universitario 12 de Octubre,2,H004,estres_1_base,Base,1.0,1.0,36,20160,hospital,70,3,available,0.17857142857142858,0.17857142857142858
Hospital General Universitario Gregorio Marañón,43.28294380943899,0,Hospital El Escorial,2,H005,estres_1_base,Base,1.0,1.0,46,20160,hospital,70,3,available,0.2281746031746032,0.2281746031746032
Hospital La Fuenfría,38.31687877994862,0,Hospital Infantil Universitario Niño Jesús,2,H006,estres_1_base,Base,1.0,1.0,41,20160,hospital,70,3,available,0.2033730158730159,0.2033730158730159
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H007,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario 12 de Octubre,100.0,0,Hospital Universitario 12 de Octubre,0,H008,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario de Fuenlabrada,100.0,0,Hospital Universitario de Fuenlabrada,0,H009,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario de Torrejón,60.57727107871505,0,Hospital Universitario Severo Ochoa,1,H010,estres_1_base,Base,1.0,1.0,22,20160,hospital,70,3,available,0.10912698412698413,0.10912698412698413
Hospital Universitario del Sureste,71.09087007451316,0,Hospital Universitario Santa Cristina,1,H011,estres_1_base,Base,1.0,1.0,15,20160,hospital,70,3,available,0.0744047619047619,0.0744047619047619
Hospital Universitario Infanta Cristina,100.0,46,Hospital Virgen de la Torre,3,H012,estres_1_base,Base,1.0,1.0,50,20160,hospital,70,3,available,0.4761904761904762,0.248015873015873
