base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE ESTE CORREDOR,22.250243940301413,1426,BASE ESTE CORREDOR,86,B007,estres_1_base,Base,1.0,1.0,1446,20160,base,70,3,available,14.246031746031745,7.1726190476190474
BASE ESTE CORREDOR,23.75449677093186,1960,BASE ESTE CORREDOR,135,B008,estres_1_base,Base,1.0,1.0,1962,20160,base,70,3,available,19.45436507936508,9.732142857142858
BASE ESTE CORREDOR,21.152467825026754,911,BASE ESTE CORREDOR,70,B009,estres_1_base,Base,1.0,1.0,960,20160,base,70,3,available,9.280753968253968,4.761904761904762
BASE ESTE CORREDOR,21.024361135525155,1639,BASE ESTE CORREDOR,108,B010,estres_1_base,Base,1.0,1.0,1708,20160,base,70,3,available,16.602182539682538,8.472222222222223
BASE SUR FUENLABRADA,82.40831186174854,2034,BASE SUR FUENLABRADA,222,B011,estres_1_base,Base,1.0,1.0,2072,20160,base,70,3,available,20.36706349206349,10.277777777777777
BASE SUR FUENLABRADA,53.351878546408315,2398,BASE SUR FUENLABRADA,244,B012,estres_1_base,Base,1.0,1.0,2450,20160,base,70,3,available,24.047619047619047,12.152777777777777
BASE SUR FUENLABRADA,66.73460123398306,2071,BASE SUR FUENLABRADA,214,B013,estres_1_base,Base,1.0,1.0,2114,20160,base,70,3,available,20.758928571428573,10.48611111111111
Hospital Asociado Universitario Guadarrama,40.01240645295681,0,Hospital Virgen de la Torre,1,H001,estres_1_base,Base,1.0,1.0,38,20160,hospital,70,3,available,0.1884920634920635,0.1884920634920635
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital El Escorial,40.58593667923807,0,Hospital Universitario 12 de Octubre,2,H003,estres_1_base,Base,1.0,1.0,36,20160,hospital,70,3,available,0.17857142857142858,0.17857142857142858
Hospital General Universitario Gregorio Marañón,43.28294380943899,0,Hospital El Escorial,2,H004,estres_1_base,Base,1.0,1.0,46,20160,hospital,70,3,available,0.2281746031746032,0.2281746031746032
Hospital La Fuenfría,38.31687877994862,0,Hospital Infantil Universitario Niño Jesús,2,H005,estres_1_base,Base,1.0,1.0,41,20160,hospital,70,3,available,0.2033730158730159,0.2033730158730159
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H006,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario 12 de Octubre,100.0,0,Hospital Universitario 12 de Octubre,0,H007,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario de Fuenlabrada,100.0,0,Hospital Universitario de Fuenlabrada,0,H008,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario de Torrejón,60.57727107871505,0,Hospital Universitario Severo Ochoa,1,H009,estres_1_base,Base,1.0,1.0,22,20160,hospital,70,3,available,0.10912698412698413,0.10912698412698413
