escenario_pretty,bloque_horas,cola_media,p10,p90
Muy alto,136.0,82.6125,54.35,105.175
Muy alto,140.0,77.725,47.225,111.95000000000002
Muy alto,144.0,40.6625,14.725000000000001,63.075
Muy alto,148.0,13.8875,3.7500000000000004,29.525000000000006
Muy alto,152.0,15.2875,6.325,24.775000000000013
Muy alto,156.0,30.6125,11.3,56.62500000000001
Muy alto,160.0,38.25,19.425,60.125000000000014
Muy alto,164.0,39.4875,20.6,65.82500000000002
Muy alto,168.0,19.5,5.175,32.95000000000001
Muy alto,172.0,11.65,3.625,21.82500000000001
Muy alto,176.0,29.6,16.5,43.22500000000001
Muy alto,180.0,47.75,22.7,74.75000000000001
Muy alto,184.0,42.6375,18.875,67.22500000000001
Muy alto,188.0,29.825,11.325,61.85000000000001
Muy alto,192.0,9.8,0.22500000000000003,25.075000000000003
Muy alto,196.0,6.75,2.425,13.825000000000001
Muy alto,200.0,25.075,13.3,35.000000000000014
Muy alto,204.0,68.875,36.275,98.65
Muy alto,208.0,79.2125,46.025,117.825
Muy alto,212.0,60.4875,34.875,86.12500000000001
Muy alto,216.0,21.95,4.0,44.62500000000001
Muy alto,220.0,8.05,1.6500000000000001,13.125000000000002
Muy alto,224.0,21.0875,9.625,34.10000000000001
Muy alto,228.0,47.2,32.475,68.525
Muy alto,232.0,61.225,37.875,79.47500000000001
Muy alto,236.0,59.7,38.0,74.05000000000001
Muy alto,240.0,30.8,7.6,43.57500000000001
Muy alto,244.0,12.325,1.4500000000000002,25.125000000000007
Muy alto,248.0,20.0125,8.225,35.97500000000001
Muy alto,252.0,42.9,15.4,75.97500000000001
Muy alto,256.0,44.2375,25.25,65.75000000000003
Muy alto,260.0,35.6375,12.65,69.07500000000002
Muy alto,264.0,15.7375,3.1500000000000004,32.60000000000002
Muy alto,268.0,10.2875,4.875,18.025000000000006
Muy alto,272.0,23.2625,11.775,36.325
Muy alto,276.0,51.4,32.65,69.825
Muy alto,280.0,48.0875,29.25,68.37500000000001
Muy alto,284.0,35.9,10.55,67.45000000000002
Muy alto,288.0,15.1125,2.1,27.475
Muy alto,292.0,7.5125,2.5500000000000003,14.000000000000007
Muy alto,296.0,21.4375,11.725,31.625
Muy alto,300.0,50.7625,36.55,73.35000000000001
Muy alto,304.0,61.9125,37.975,83.85000000000001
Muy alto,308.0,55.7875,33.0,77.47500000000001
Muy alto,312.0,21.0375,5.35,43.025
Muy alto,316.0,7.95,1.25,17.47500000000001
Muy alto,320.0,18.5,7.225,36.75
Muy alto,324.0,46.575,32.025,67.55000000000001
Muy alto,328.0,56.55,22.2,93.80000000000001
Muy alto,332.0,48.4,15.225000000000001,79.30000000000001
